FILE,LAT,LON,ELEC_DEN
3,-89.9,-179.5,9.420228958129883
3,-89.4,-178.5,9.944885889689127
3,-88.9,-177.5,10.174039840698242
3,-88.4,-176.5,9.854863484700521
3,-87.9,-175.5,9.274466774680398
3,-87.4,-174.5,9.537101052024148
3,-86.9,-173.5,9.68301010131836
3,-86.4,-172.5,9.148345947265625
3,-85.9,-171.5,9.266667683919271
3,-85.4,-170.5,9.44437061656605
3,-84.9,-169.5,9.738121032714844
3,-84.4,-168.5,9.874114990234375
3,-83.9,-167.5,10.946441650390625
3,-83.4,-166.5,11.510886192321777
3,-82.9,-165.5,10.572415351867676
3,-82.4,-164.5,11.19286855061849
3,-81.9,-163.5,9.708759654651988
3,-81.4,-162.5,10.103705724080404
3,-80.9,-161.5,9.547463734944662
3,-80.4,-160.5,10.79964828491211
3,-79.9,-159.5,12.377240267666904
3,-79.4,-158.5,12.185875786675346
3,-78.9,-157.5,12.621007283528646
3,-78.4,-156.5,13.792857699924046
3,-77.9,-155.5,14.192147827148437
3,-77.4,-154.5,13.804019165039062
3,-76.9,-153.5,14.771479288736979
3,-76.4,-152.5,15.0947998046875
3,-75.9,-151.5,14.972158813476563
3,-75.4,-150.5,15.056601206461588
3,-74.9,-149.5,15.288887023925781
3,-74.4,-148.5,10.11109447479248
3,-73.9,-147.5,9.628174781799316
3,-73.4,-146.5,10.241022109985352
3,-72.9,-145.5,11.204744338989258
3,-72.4,-144.5,11.220141410827637
3,-71.9,-143.5,11.166481971740723
3,-71.4,-142.5,11.117461204528809
3,-70.9,-141.5,11.069479624430338
3,-70.4,-140.5,11.067870140075684
3,-69.9,-139.5,11.129532814025879
3,-3.9000015,-7.5,8.940938949584961
3,-3.4000015,-6.5,6.9336090087890625
3,-2.9000015,-5.5,6.359798431396484
3,-2.4000015,-4.5,5.377586364746094
3,-1.9000015,-3.5,4.912254333496094
3,-1.4000015,-2.5,4.3009694417317705
3,-0.9000015,-1.5,4.169104258219401
3,-0.40000153,-0.5,3.856757481892904
3,0.099998474,0.5,3.5377527872721353
3,0.5999985,1.5,3.3450018564860025
3,1.0999985,2.5,3.967634473528181
3,1.5999985,3.5,3.6724455091688366
3,2.0999985,4.5,3.502843221028646
3,2.5999985,5.5,4.023271942138672
3,3.0999985,6.5,4.169792175292969
3,3.5999985,7.5,4.453209559122722
3,4.0999985,8.5,4.826576868693034
3,4.5999985,9.5,5.14949385325114
3,5.0999985,10.5,5.096423467000325
3,5.5999985,11.5,4.580470692027699
3,6.0999985,12.5,4.180370330810547
3,6.5999985,13.5,4.414150555928548
3,7.0999985,14.5,4.043094317118327
3,7.5999985,15.5,3.2622903188069663
3,8.099998,16.5,3.217770258585612
3,8.599998,17.5,2.9510037104288735
3,9.099998,18.5,2.892287254333496
3,9.599998,19.5,2.7379277547200522
3,10.099998,20.5,2.26336399714152
3,10.599998,21.5,1.9877015749613445
3,11.099998,22.5,1.3993550936381023
3,11.599998,23.5,1.597227414449056
3,12.099998,24.5,1.8180033365885417
3,12.599998,25.5,1.7340552012125652
3,13.099998,26.5,1.5970919926961262
3,13.599998,27.5,1.8376002311706543
3,14.099998,28.5,1.7236498726738825
3,14.599998,29.5,2.0178935527801514
3,15.099998,30.5,2.595938788519965
3,15.599998,31.5,2.2955307960510254
3,16.099998,32.5,2.0030147234598794
3,16.599998,33.5,2.1958956718444824
3,17.099998,34.5,2.92875607808431
3,17.599998,35.5,3.223332405090332
3,18.099998,36.5,3.2895431518554688
3,18.599998,37.5,3.224429130554199
3,19.099998,38.5,3.09186585744222
3,19.599998,39.5,2.6657102902730307
3,20.099998,40.5,2.036435921986898
3,20.599998,41.5,1.7627585728963215
3,21.099998,42.5,1.6030502319335938
3,21.599998,43.5,1.5057449340820312
3,22.099998,44.5,1.4782778422037761
3,22.599998,45.5,1.5685876210530598
3,23.099998,46.5,1.4529204368591309
3,23.599998,47.5,1.4690565381731306
3,24.099998,48.5,1.7049872080485027
3,24.599998,49.5,1.8709303140640259
3,25.099998,50.5,2.1739673614501953
3,25.599998,51.5,2.3216354846954346
3,28.099998,56.5,7.454495747884114
3,28.599998,57.5,7.352871894836426
3,29.099998,58.5,7.454495747884114
3,29.599998,59.5,7.533942222595215
3,33.1,66.5,5.075784683227539
3,33.6,67.5,5.108039855957031
3,34.1,68.5,5.075784683227539
3,34.6,69.5,4.996394634246826
3,38.6,77.5,6.377786159515381
3,39.1,78.5,6.468837738037109
3,39.6,79.5,6.377786159515381
3,40.1,80.5,6.04817008972168
3,40.6,81.5,6.090320587158203
3,41.1,82.5,6.085465749104817
3,41.6,83.5,6.113100687662761
3,42.1,84.5,6.156167507171631
3,47.1,94.5,2.680643320083618
